Országos jelentőségű védett területek Borsod-Abaúj-Zemplén megyében;;;;;;;;;;;;;;;;;
Területi egység neve;2000;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Nemzeti park;47 569;49 720;49 630;49 961;50 235;49 448;49 448;49 448;49 448;49 440;49 440;49 440;49 440;49 440;49 440;49 440;49 440
Tájvédelmi körzet;60 783;60 692;60 799;60 931;59 639;59 349;59 349;59 349;59 349;59 349;59 349;59 349;59 349;59 349;59 349;59 349;59 349
Természetvédelmi terület;1 911;1 876;1 876;2 842;2 721;2 678;2 678;2 741;2 741;2 822;2 822;2 822;2 822;2 822;2 822;2 822;2 822
Természeti emlék;0;0;0;0;0;0;0;0;0;0;9;22;22;22;24;24;24
Összesen;;;;;;;;;;;;;;;;;
Ország összesen;815 878;839 019;839 031;844 702;837 473;846 537;846 537;846 752;850 648;848 149;848 716;848 777;848 990;849 104;849 150;849 150;848 919
